disease	url	doi	year	dt	variable	estimate	sentence
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20036202v1	10.1101/2020.03.14.20036202	2020	2020-03-14	reproduction+number	2.2	However, some scholars put forward the basic reproduction number between (2.8, 3.9), and others put forward the basic reproduction number of 2.2 [3].
covid	https://www.medrxiv.org/content/10.1101/2020.03.14.20036202v1	10.1101/2020.03.14.20036202	2020	2020-03-14	reproduction+number	3.8	It is found that when the basic reproduction number is 3.8, the simulated curve (yellow line) is better close to the official confirmed number curve (red line), that is to say, the real basic reproduction number in Wuhan should be 3.8.
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		reproduction+number	1	At a reproduction number of 1-5, the effect of isolation was coupled with the chance of stochastic extinction resulting from overdispersion,” which is why some outbreaks were controlled even at 0% contacts traced.
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		reproduction+number	3	The probability of control was higher at all levels of contact tracing when the reproduction number was 1-5, and fell rapidly for a reproduction number of 3-5.
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		reproduction+number	1	The probability of control was higher at all levels of contact tracing when the reproduction number was 1-5, and fell rapidly for a reproduction number of 3-5.
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		reproduction+number	1	When the basic reproduction number was 1-5, the median estimate rapidly fell below 1, which indicated that control was probable.
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		reproduction+number	2	Results To achieve control of 90% of outbreaks, 80% of contacts needed to be traced and isolated for scenarios with a reproduction number of 2-5 (figure 3).
covid	https://www.sciencedirect.com/science/article/pii/S2214109X20300747	10.1016/S2214-109X(20)30074-7	2020		reproduction+number	1	For the higher transmission scenarios, a higher level of contact tracing was needed to bring the median effective reproduction number below 1.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033498v1	10.1101/2020.03.09.20033498	2020	2020-03-09	reproduction+number	2	Considering protective measures were taken, / should be smaller than the basic reproduction number in 2.
covid	https://www.medrxiv.org/content/10.1101/2020.02.13.20022806v2	10.1101/2020.02.13.20022806	2020	2020-02-13	asymptomatic		The clinical presentation of the illness caused by SARS-CoV-2, called COVID-19, appears to range from mild or asymptomatic to severe and fatal respiratory ill- ness (WHO Emergency Committee, 2020a), but the ex- act spectrum of disease presentation is still unclear.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		If asymptomatic infections are more persistent than symptomatic ones, the mean genera- tion interval for COVID-19 could be than estimated from cases alone —
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	reproduction+number	9	Our reproductive number findings fit into a broader framework linking epidemic speed, strength, and generation intervals — for a given observed speed increases in the mean generation interval imply larger reproduction number [9, 10, 13-15].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Here we highlight the need to characterize the generation-interval dis- tribution for asymptomatic transmission, and its consequences not only for contact tracing but for estimation of the basic reproduction number of the ongoing COVID-19 outbreak [11] and of the effective proportion of asymptomatic transmission during the exponential-growth phase.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Much is still unknown about the time scale and effectiveness of asymptomatic transmis- sion in COVID-19.
covid	https://www.medrxiv.org/content/10.1101/2020.03.12.20035220v1	10.1101/2020.03.12.20035220	2020	2020-03-12	asymptomatic		Subsequently, as of 11 March, 2020, 503 cases were announced, including asymptomatic or those abroad in countries such China but excluding those infected on a large cruise ship, the Diamond Princess [1].
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Relative generation-interval dispersion of asymptomatic cases K,/K, have similar, but smaller, effects on g and Ro
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Therefore, when Ro is estimated without explicitly accounting for asymptomatic spread (white, dashed line in Fig- ure 1B), it can be over- or under- estimated depending on the relative duration of infection between symptomatic and asymptomatic individuals.
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Both of these effects are stronger when the intrinsic proportion asymptomatic transmission z increases (and disappear as z — 0).
covid	https://www.medrxiv.org/content/10.1101/2020.03.09.20033514v1	10.1101/2020.03.09.20033514	2020	2020-03-09	asymptomatic		Figure 1B shows the effect of different assumptions about the generation interval of asymptomatic cases, Ga, on the basic reproduction number Rp.
